series_rank,series_id,label,variant,source_log,segment_index,phase,split,eval_scope,metric,iteration,train_iters,consumed_samples,iter_ms,value
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,1250,,,,31.67383
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,1500,,,,29.28344
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,1750,,,,27.66178
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,2000,,,,26.38163
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,2250,,,,25.19072
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,2500,,,,24.58368
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,2750,,,,23.95094
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,3000,,,,23.35391
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,3250,,,,22.96599
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,3500,,,,22.6579
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,3750,,,,22.19608
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,4000,,,,21.82428
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,4250,,,,21.53607
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,4500,,,,21.55579
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,4750,,,,21.59748
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,final_validation_set,ppl,5000,,,,21.62527
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,eval,validation,periodic_validation,ppl,5000,,,,21.74853
